usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,11222,Brooklyn,Greenpoint,11101,Queens,Northwest Queens,2020-11-12,2020-11-12,55.4,3.6,0.43,10.0,30
Subscriber,11221,Brooklyn,Bushwick and Williamsburg,11233,Brooklyn,Central Brooklyn,2020-09-11,2020-09-11,72.3,5.6,0.45,0.0,3
Customer,11101,Queens,Northwest Queens,10021,Manhattan,Upper East Side,2020-10-31,2020-10-31,49.1,3.0,0.0,20.0,1
Subscriber,11211,Brooklyn,Greenpoint,11101,Queens,Northwest Queens,2020-09-21,2020-09-21,65.8,7.4,0.0,30.0,2
Subscriber,11238,Brooklyn,Central Brooklyn,11221,Brooklyn,Bushwick and Williamsburg,2020-09-18,2020-09-18,76.3,2.4,0.0,20.0,2
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11221,Brooklyn,Bushwick and Williamsburg,2020-09-06,2020-09-06,74.1,1.0,0.0,0.0,2
Subscriber,10028,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-11-23,2020-11-23,39.8,5.6,0.0,0.0,4
Customer,11211,Brooklyn,Greenpoint,11222,Brooklyn,Greenpoint,2020-09-03,2020-09-03,82.6,1.8,0.0,10.0,10
Subscriber,10013,Manhattan,Greenwich Village and Soho,11206,Brooklyn,Bushwick and Williamsburg,2020-10-13,2020-10-13,65.8,2.5,0.01,30.0,3
Subscriber,10010,Manhattan,Gramercy Park and Murray Hill,10021,Manhattan,Upper East Side,2020-12-15,2020-12-15,61.8,8.6,0.42,30.0,2
Subscriber,10028,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-10-05,2020-10-05,57.7,6.6,0.0,10.0,23
Subscriber,10065,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-12-30,2020-12-30,41.3,3.0,0.15,50.0,1
Subscriber,10011,Manhattan,Chelsea and Clinton,10021,Manhattan,Upper East Side,2020-08-01,2020-08-01,81.6,3.8,0.0,40.0,2
Customer,11222,Brooklyn,Greenpoint,11222,Brooklyn,Greenpoint,2020-08-29,2020-08-29,75.7,1.2,0.0,30.0,11
Subscriber,10021,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-12-31,2020-12-31,46.5,3.0,0.19,0.0,4
Subscriber,10016,Manhattan,Gramercy Park and Murray Hill,10075,Manhattan,Upper East Side,2020-10-28,2020-10-28,58.0,6.3,0.0,10.0,1
Subscriber,10022,Manhattan,Gramercy Park and Murray Hill,11101,Queens,Northwest Queens,2020-11-06,2020-11-06,69.4,3.7,0.01,10.0,1
Subscriber,11222,Brooklyn,Greenpoint,11101,Queens,Northwest Queens,2020-09-10,2020-09-10,75.2,4.7,1.13,20.0,2
Subscriber,11101,Queens,Northwest Queens,10021,Manhattan,Upper East Side,2020-09-12,2020-09-12,74.0,2.3,0.0,30.0,1
Subscriber,10009,Manhattan,Lower East Side,10021,Manhattan,Upper East Side,2020-09-10,2020-09-10,75.2,4.7,1.13,30.0,1
Subscriber,11233,Brooklyn,Central Brooklyn,11221,Brooklyn,Bushwick and Williamsburg,2020-10-31,2020-10-31,49.1,3.0,0.0,10.0,5
Subscriber,10022,Manhattan,Gramercy Park and Murray Hill,11101,Queens,Northwest Queens,2020-10-27,2020-10-27,51.9,3.5,0.0,10.0,4
Subscriber,10075,Manhattan,Upper East Side,11222,Brooklyn,Greenpoint,2020-12-11,2020-12-11,55.2,3.1,0.0,30.0,1
